230315, 조미채소류, 마늘, 풋마늘,1,0,342.85715,,,
230315, 서류, 고구마, 기타,1,0,146,,,
230315, 엽경채류, 양배추, 양배추,1,0,46,,,
230315, 과채류, 호박, 쥬키니호박,1,0,141,,,
230315, 과일과채류, 딸기, 설향,1,0,600,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,280,,,
230315, 과실류, 사과, 미시마,1,0,155,,,
230315, 과실류, 사과, 후지,1,0,126,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,120,,,
230315, 과실류, 포도, 샤인마스캇,1,0,600,,,
230315, 과일과채류, 토마토, 대저토마토,1,0,456,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,180,,,
230315, 과일과채류, 참외, 금싸라기,1,0,830,,,
230315, 과실류, 감귤, 천헤향,1,0,288.8889,,,
230315, 과일과채류, 딸기, 설향,1,0,400,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,180,,,
230315, 과실류, 감귤, 천헤향,1,0,477.77777,,,
230315, 과실류, 사과, 미시마,1,0,220,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,160,,,
230315, 과실류, 감귤, 천헤향,1,0,350,,,
230315, 과일과채류, 수박, 수박,1,0,374.54544,,,
230315, 과실류, 배, 신고,1,0,140,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 서류, 고구마, 기타,1,0,146,,,
230315, 과일과채류, 딸기, 설향,1,0,400,,,
230315, 과일과채류, 토마토, 토마토,1,0,880,,,
230315, 과채류, 가지, 가지,1,0,178,,,
230315, 서류, 고구마, 기타,1,0,180,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 버섯류, 표고버섯, 표고버섯,1,0,672.5,,,
230315, 엽경채류, 머위대, 머위잎,1,0,850,,,
230315, 과일과채류, 수박, 수박,1,0,374.54544,,,
230315, 과일과채류, 딸기, 설향,1,0,760,,,
230315, 과일과채류, 참외, 금싸라기,1,0,830,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,248,,,
230315, 서류, 감자, 기타감자,1,0,192.5,,,
230315, 양채류, 양상추, 기타양상추,1,0,220,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,140,,,
230315, 서류, 감자, 수미,1,0,120,,,
230315, 과실류, 포도, 포도,0,0,414.63416,,,
230315, 과실류, 사과, 후지,1,0,136,,,
230315, 과일과채류, 딸기, 설향,1,0,750,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,82.5,,,
230315, 과일과채류, 참외, 기타참외,1,0,700,,,
230315, 엽경채류, 시금치, 시금치,1,0,160,,,
230315, 과일과채류, 토마토, 토마토,1,0,720,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 서류, 고구마, 밤고구마,1,0,220,,,
230315, 엽경채류, 시금치, 시금치,1,0,55.555557,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 산채류, 새발나물, 새발나물,1,0,225,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 과실류, 감귤, 천헤향,1,0,433.33334,,,
230315, 과실류, 사과, 미안마,1,0,130,,,
230315, 과일과채류, 토마토, 대저토마토,1,0,412,,,
230315, 과실류, 사과, 미시마,1,0,280,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,340,,,
