230317, 과실류, 사과, 미얀마,1,0,330,,
230317, 신선 해조류, 우뭇가사리, 기타,1,0,157.14285,,
230317, 과실류, 사과, 미얀마,1,0,330,,
230317, 과일과채류, 딸기, 설향,1,0,310,,
230317, 농림가공, 전분 및 사료제조, 도토리묵,1,0,183.33333,,
230317, 과일과채류, 딸기, 설향,1,0,400,,
230317, 서류, 고구마, 기타,1,0,120,,
230317, 과일과채류, 딸기, 금실,1,0,550,,
230317, 농림가공, 전분 및 사료제조, 도토리묵,1,0,175,,
230317, 과일과채류, 딸기, 기타딸기,1,0,410,,
230317, 과일과채류, 딸기, 설향,1,0,475,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,310,,
230317, 과일과채류, 딸기, 설향,1,0,230,,
230317, 농림가공, 전분 및 사료제조, 도토리묵,1,0,150,,
230317, 과실류, 사과, 미얀마,1,0,330,,
230317, 양채류, 케일, 쌈케일,1,0,255,,
230317, 과실류, 배, 신고,1,0,146.66667,,
230317, 과실류, 배, 신고,1,0,246.66667,,
230317, 과실류, 배, 신고,1,0,213.33333,,
230317, 과실류, 배, 신고,1,0,213.33333,,
230317, 서류, 고구마, 밤고구마,1,0,45,,
230317, 서류, 고구마, 밤고구마,1,0,45,,
