230316, 버섯류, 송화버섯, 송화버섯,1,0,1100,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 서류, 고구마, 기타,1,0,120,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,233,,
230316, 과일과채류, 딸기, 설향,1,0,600,,
230316, 엽경채류, 시금치, 시금치,1,0,233,,
230316, 엽경채류, 깻잎, 깻잎,1,0,940,,
230316, 엽경채류, 상추, 쫑상추,1,0,115,,
230316, 과일과채류, 딸기, 기타딸기,1,0,380,,
230316, 과실류, 감귤, 천혜향,1,0,473.33334,,
230316, 과일과채류, 딸기, 기타딸기,1,0,320,,
230316, 엽경채류, 깻잎, 깻잎,1,0,380,,
230316, 과일과채류, 딸기, 설향,1,0,250,,
230316, 과일과채류, 딸기, 설향,1,0,600,,
230316, 과일과채류, 딸기, 기타딸기,1,0,500,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,132,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,132,,
230316, 엽경채류, 시금치, 시금치,1,0,220,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 과일과채류, 참외, 오복,1,0,800,,
230316, 서류, 고구마, 기타,1,0,102,,
230316, 과일과채류, 참외, 기타참외,1,0,512,,
230316, 과일과채류, 토마토, 토마토,1,0,460,,
230316, 엽경채류, 깻잎, 깻잎,1,0,930,,
230316, 엽경채류, 상추, 청상추,1,0,125,,
230316, 엽경채류, 깻잎, 깻잎,1,0,380,,
230316, 과일과채류, 토마토, 토마토,1,0,280,,
230316, 과실류, 바나나, 바나나,0,0,253.84616,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,400,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,20,,
230316, 서류, 감자, 돼지감자,1,0,20,,
230316, 엽경채류, 부추, 일반부추,1,0,150,,
230316, 조미채소류, 대파, 대파,1,0,194,,
230316, 과일과채류, 딸기, 기타딸기,1,0,360,,
230316, 버섯류, 표고버섯, 표고버섯,1,0,20,,
230316, 엽경채류, 시금치, 시금치,1,0,210,,
230316, 과일과채류, 참외, 기타참외,1,0,756,,
230316, 과일과채류, 토마토, 토마토,1,0,400,,
230316, 산채류, 취나물, 취나물,1,0,362.5,,
230316, 산채류, 취나물, 취나물,1,0,362.5,,
230316, 서류, 고구마, 기타,1,0,72,,
230316, 엽경채류, 깻잎, 깻잎,1,0,380,,
