230403, 근채류, 당근, 당근, 0, 0, 60.0
230403, 엽경채류, 깻잎, 깻단, 1, 0, 427.5
230403, 과일과채류, 참외, 기타참외, 1, 0, 690.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과실류, 사과, 미얀마, 1, 0, 150.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 690.0
230403, 과채류, 호박, 애호박, 1, 0, 193.75
230403, 과일과채류, 토마토, 토마토, 1, 0, 350.0
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 316.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 483.33334
230403, 조미채소류, 생강, 기타생강, 1, 0, 1000.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 600.0
230403, 과실류, 사과, 후지, 1, 0, 335.0
230403, 조미채소류, 홍고추, 홍고추, 1, 0, 2210.0
230403, 양채류, 파프리카, 빨강파프리카, 1, 0, 400.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 220.0
230403, 서류, 고구마, 기타, 1, 0, 151.0
230403, 과실류, 사과, 미얀마, 1, 0, 271.5
230403, 과일과채류, 참외, 금싸라기, 1, 0, 650.0
230403, 버섯류, 느타리버섯, 기타느타리버섯, 1, 0, 160.0
230403, 과실류, 사과, 미얀마, 1, 0, 269.5
230403, 과실류, 사과, 미얀마, 1, 0, 370.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 300.0
류, 호박, 애호박, 1, 0, 162.5
230403, 과실류, 사과, 미얀마, 1, 0, 254.5
채소류, 풋고추, 청양, 1, 0, 280.0
230403, 과실류, 사과, 후지, 1, 0, 223.0
류, 두릅, 기타두릅, 1, 0, 1300.0
230403, 엽경채류, 상추, 꽃적상추, 1, 0, 375.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 버섯류, 표고버섯, 기타표고버섯, 1, 0, 720.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 460.0
230403, 양채류, 적채, 적채, 1, 0, 75.0
230403, 과채류, 호박, 애호박, 1, 0, 303.33334
류, 호박, 애호박, 1, 0, 181.25
230403, 엽경채류, 상추, 꽃적상추, 1, 0, 400.0
230403, 엽경채류, 숙주나물, 숙주나물, 1, 0, 128.57143
230403, 엽경채류, 부추, 일반부추, 1, 0, 400.0
230403, 과채류, 가지, 가지, 1, 0, 330.0
류, 오이, 백다다기, 1, 0, 235.0
230403, 과실류, 사과, 미얀마, 1, 0, 319.5
230403, 조미채소류, 양파, 조생양파, 1, 0, 55.333332
230403, 과실류, 배, 신고, 1, 0, 160.0
230403, 과실류, 바나나, 바나나, 0, 0, 207.6923
230403, 과일과채류, 참외, 참외, 1, 0, 420.0
230403, 서류, 고구마, 기타, 1, 0, 170.0
230403, 과실류, 사과, 미시마, 1, 0, 190.0
채소류, 풋고추, 청양, 1, 0, 400.0
230403, 엽경채류, 깻잎, 깻잎순, 1, 0, 325.0
230403, 산채류, 기타, 산채류기타, 1, 0, 2500.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 농림가공, 전분 및 사료제조, 기타, 1, 0, 180.0
230403, 산채류, 방풍나물, 방풍나물, 1, 0, 100.0
230403, 버섯류, 느타리버섯, 애느타리, 1, 0, 260.0
류, 두릅, 기타두릅, 1, 0, 1900.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 550.0
230403, 과실류, 바나나, 바나나, 0, 0, 207.6923
230403, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 167.0
230403, 과실류, 감귤, 비가림감귤, 1, 0, 520.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 610.0
230403, 과실류, 바나나, 바나나, 0, 0, 207.6923
230403, 과일과채류, 토마토, 토마토, 1, 0, 420.0
230403, 과일과채류, 메론, 파파야계, 1, 0, 360.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 딸기, 설향, 1, 0, 575.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 농림가공, 전분 및 사료제조, 기타, 1, 0, 171.42857
류, 호박, 애호박, 1, 0, 168.75
