230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 조미채소류, 풋고추, 기타풋고추, 1, 0, 280.0
230403, 과일과채류, 딸기, 천사, 1, 0, 110.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 440.0
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 과일과채류, 참외, 기타참외, 1, 0, 648.0
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 과일과채류, 토마토, 기타토마토, 1, 0, 388.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 394.73685
230403, 과실류, 사과, 기타사과, 1, 0, 220.0
230403, 엽경채류, 열무, 열무, 1, 0, 62.5
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 410.0
230403, 양채류, 양상추, 양상추, 1, 0, 262.5
230403, 과채류, 오이, 백다다기, 1, 0, 346.66666
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 50.0
230403, 과채류, 오이, 백다다기, 1, 0, 260.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1080.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 408.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 310.0
230403, 과실류, 참다래(키위), 참다래, 1, 0, 350.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1050.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1760.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 540.0
230403, 과실류, 사과, 후지, 1, 0, 110.0
230403, 조미채소류, 풋고추, 롱그린, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 310.0
230403, 과채류, 오이, 백다다기, 1, 0, 346.66666
230403, 과일과채류, 참외, 기타참외, 1, 0, 350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 엽경채류, 배추, 월동배추, 1, 0, 70.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 460.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 585.0
230403, 엽경채류, 배추, 쌈배추, 1, 0, 375.85
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 320.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 264.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 615.0
230403, 과일과채류, 토마토, 찰토마토, 1, 0, 450.0
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 50.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 350.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 350.0
230403, 과실류, 포도, 샤인마스캇, 1, 0, 800.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 670.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 300.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1105.0
230403, 서류, 고구마, 기타, 1, 0, 160.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 산채류, 취나물, 취나물, 1, 0, 400.0
230403, 엽경채류, 배추, 저장배추, 1, 0, 50.5
230403, 과실류, 바나나, 바나나, 0, 0, 215.38461
230403, 과일과채류, 참외, 기타참외, 1, 0, 350.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 465.0
230403, 조미채소류, 생강, 생강, 1, 0, 1055.0
230403, 조미채소류, 양파, 양파, 1, 0, 113.333336
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 240.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 370.0
230403, 과일과채류, 딸기, 설향, 1, 0, 270.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 322.0
230403, 엽경채류, 냉이, 일반냉이, 1, 0, 657.5
230403, 버섯류, 표고버섯, 생표고, 1, 0, 560.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 642.0
230403, 양채류, 적채, 적채, 1, 0, 55.625
230403, 과일과채류, 토마토, 토마토, 1, 0, 520.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 480.0
230403, 과실류, 사과, 미시마, 1, 0, 200.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과실류, 사과, 미얀마, 1, 0, 150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 서류, 고구마, 기타, 1, 0, 163.0
230403, 조미채소류, 양파, 양파, 1, 0, 150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 360.0
230403, 과일과채류, 딸기, 장희, 1, 0, 1100.0
230403, 엽경채류, 깻잎, 깻잎순, 1, 0, 470.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1250.0
230403, 과실류, 감귤, 천혜향, 1, 0, 310.0
230403, 엽경채류, 깻잎, 깻잎순, 1, 0, 368.42105
230403, 과채류, 호박, 애호박, 1, 0, 250.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
230403, 과실류, 사과, 후지, 1, 0, 100.0
230403, 과채류, 오이, 백다다기, 1, 0, 140.0
230403, 과일과채류, 딸기, 설향, 1, 0, 150.0
230403, 산채류, 방풍나물, 방풍나물, 1, 0, 150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과일과채류, 딸기, 장희, 1, 0, 670.0
230403, 엽경채류, 냉이, 일반냉이, 1, 0, 657.5
230403, 과일과채류, 딸기, 설향, 1, 0, 1450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 610.0
230403, 양채류, 로메인, 통로메인, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 딸기, 장희, 1, 0, 1100.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 440.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 480.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1050.0
230403, 과실류, 사과, 미얀마, 1, 0, 94.5
230403, 과일과채류, 딸기, 설향, 1, 0, 1350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 325.0
230403, 과실류, 사과, 미얀마, 1, 0, 119.5
230403, 과일과채류, 딸기, 설향, 1, 0, 1550.0
230403, 과실류, 사과, 미얀마, 1, 0, 172.0
230403, 양채류, 로메인, 로메인, 1, 0, 300.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 830.0
230403, 과채류, 오이, 취청, 1, 0, 395.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 330.0
230403, 과채류, 오이, 취청, 1, 0, 395.0
230403, 과실류, 배, 신고, 1, 0, 100.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 440.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 525.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 360.0
230403, 과실류, 오렌지, 청견, 1, 0, 186.0
230403, 과일과채류, 참외, 참외, 1, 0, 430.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 600.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 552.0
230403, 과실류, 사과, 후지, 1, 0, 276.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 360.0
