230403, 과실류, 배, 신고, 1, 0, 160.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과채류, 호박, 애호박, 1, 0, 250.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1250.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 340.70798
230403, 과실류, 곶감, 곶감, 1, 0, 1575.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 900.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 620.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 620.0
230403, 과실류, 사과, 후지, 1, 0, 269.0
230403, 과실류, 곶감, 기타곶감, 1, 0, 812.5
230403, 엽경채류, 배추, 기타배추, 1, 0, 53.333332
230403, 과일과채류, 수박, 수박, 1, 0, 288.8889
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 615.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과일과채류, 딸기, 금실, 1, 0, 700.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 975.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 263.73627
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
230403, 과일과채류, 메론, 파파야계, 1, 0, 290.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 348.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 270.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 530.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 350.0
230403, 엽경채류, 시금치, 시금치, 1, 0, 275.0
230403, 산채류, 두릅, 기타두릅, 1, 0, 3550.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 360.0
230403, 서류, 고구마, 기타, 1, 0, 118.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 623.3333
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1160.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 525.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 540.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1500.0
230403, 과일과채류, 수박, 수박, 1, 0, 333.33334
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 270.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
