230403, 과일과채류, 참외, 기타참외, 1, 0, 900.0
230403, 버섯류, 팽이버섯, 팽이1호, 1, 0, 202.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 377.0
230403, 과채류, 호박, 애호박, 1, 0, 193.75
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 800.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 268.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 580.0
230403, 조미채소류, 대파, 대파, 1, 0, 120.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 240.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 215.0
230403, 과일과채류, 수박, 수박, 1, 0, 294.11765
230403, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 350.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 660.0
230403, 과일과채류, 딸기, 설향, 1, 0, 575.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 57.692307
230403, 과채류, 오이, 취청, 1, 0, 216.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 416.66666
230403, 근채류, 무, 기타무, 1, 0, 50.0
230403, 과일과채류, 참외, 오복, 1, 0, 630.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 750.0
230403, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 375.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 210.0
230403, 서류, 고구마, 기타, 1, 0, 90.0
230403, 과채류, 오이, 가시오이, 1, 0, 213.0
230403, 과실류, 감귤, 천혜향, 1, 0, 666.6667
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 500.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 버섯류, 만가닥, 만가닥, 1, 0, 365.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1460.0
230403, 과실류, 사과, 미얀마, 1, 0, 150.0
230403, 과일과채류, 딸기, 육보, 1, 0, 700.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 210.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 240.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 조미채소류, 양파, 양파, 1, 0, 116.666664
230403, 엽경채류, 얼갈이배추, 기타얼갈이배추, 1, 0, 90.0
230403, 버섯류, 표고버섯, 표고버섯, 0, 0, 650.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 360.0
230403, 버섯류, 표고버섯, 표고버섯, 0, 0, 650.0
230403, 엽경채류, 달래, 달래, 1, 0, 300.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 엽경채류, 기타, 쇠똥, 1, 0, 1183.3334
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 303.33334
230403, 버섯류, 표고버섯, 표고버섯, 0, 0, 650.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 260.0
230403, 과채류, 오이, 가시오이, 1, 0, 290.0
230403, 산채류, 기타, 산채류, 1, 0, 2033.3334
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 700.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 조미채소류, 대파, 대파, 1, 0, 77.5
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 160.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 조미채소류, 양파, 양파, 1, 0, 37.5
230403, 엽경채류, 열무, 열무, 1, 0, 100.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1150.0
230403, 과일과채류, 딸기, 산딸기, 1, 0, 1800.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 300.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과채류, 오이, 백다다기, 1, 0, 188.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 엽경채류, 기타, 쇠똥, 1, 0, 766.6667
230403, 과일과채류, 참외, 금싸라기, 1, 0, 640.0
230403, 과실류, 사과, 후지, 1, 0, 190.0
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 930.0
230403, 산채류, 두릅, 두릅, 1, 0, 800.0
230403, 서류, 고구마, 밤고구마, 1, 0, 40.0
230403, 조미채소류, 양파, 양파, 1, 0, 115.0
230403, 서류, 고구마, 밤고구마, 1, 0, 40.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 서류, 고구마, 밤고구마, 1, 0, 40.0
230403, 과채류, 호박, 애호박, 1, 0, 220.0
230403, 과실류, 참다래(키위), 기타참다래, 1, 0, 286.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 엽경채류, 상추, 적상추, 1, 0, 325.0
230403, 조미채소류, 대파, 대파, 1, 0, 150.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 532.0
230403, 과채류, 오이, 취청, 1, 0, 255.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 460.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 540.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 680.0
230403, 산채류, 취나물, 기타취나물, 1, 0, 587.5
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 220.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 420.0
230403, 과일과채류, 메론, 네트계, 1, 0, 533.3333
230403, 과일과채류, 딸기, 설향, 1, 0, 575.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 400.0
230403, 서류, 고구마, 기타, 1, 0, 210.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 656.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 260.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 660.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 330.0
230403, 과실류, 사과, 미야비, 1, 0, 113.0
230403, 과일과채류, 딸기, 설향, 1, 0, 260.0
230403, 과일과채류, 딸기, 설향, 1, 0, 530.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 580.0
230403, 산채류, 두릅, 기타두릅, 1, 0, 1176.4706
230403, 과실류, 곶감, 기타곶감, 1, 0, 1214.2858
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 410.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과일과채류, 수박, 수박, 1, 0, 187.5
230403, 과일과채류, 참외, 기타참외, 1, 0, 430.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 368.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과실류, 감귤, 천혜향, 1, 0, 577.7778
230403, 엽경채류, 냉이, 일반냉이, 1, 0, 250.0
230403, 과실류, 포도, 샤인마스캇, 1, 0, 475.0
230403, 과실류, 포도, 포도, 0, 0, 712.3288
230403, 과일과채류, 딸기, 설향, 1, 0, 710.0
230403, 과실류, 배, 신고, 1, 0, 106.666664
230403, 과일과채류, 토마토, 토마토, 1, 0, 318.0
230403, 과실류, 바나나, 바나나, 1, 0, 220.0
230403, 과실류, 배, 신고, 1, 0, 106.666664
230403, 과실류, 바나나, 바나나, 1, 0, 180.0
230403, 과일과채류, 참외, 오복, 1, 0, 500.0
230403, 과일과채류, 참외, 오복, 1, 0, 500.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과실류, 사과, 미얀마, 1, 0, 195.5
230403, 과실류, 사과, 미얀마, 1, 0, 267.5
