230403, 과실류, 감귤, 천혜향, 1, 0, 450.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 690.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 530.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 640.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 580.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 산채류, 엉게나물, 엉게나물, 1, 0, 4000.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 650.0
230403, 과채류, 호박, 애호박, 1, 0, 241.25
230403, 과일과채류, 참외, 노랑참외, 1, 0, 690.0
230403, 과실류, 사과, 미얀마, 1, 0, 184.5
230403, 과일과채류, 참외, 금싸라기, 1, 0, 330.0
230403, 과실류, 사과, 미얀마, 1, 0, 322.0
230403, 과일과채류, 딸기, 설향, 1, 0, 480.0
230403, 과실류, 사과, 미얀마, 1, 0, 207.5
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
230403, 과일과채류, 딸기, 설향, 1, 0, 50.0
230403, 양채류, 브로코리(녹색꽃양배추), 브로코리, 0, 0, 381.25
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 산채류, 두릅, 참두릅, 1, 0, 2200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 과실류, 사과, 미얀마, 1, 0, 244.5
230403, 과일과채류, 딸기, 장희, 1, 0, 1000.0
230403, 양채류, 파프리카, 빨강파프리카, 1, 0, 372.88135
230403, 과일과채류, 딸기, 설향, 1, 0, 150.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 590.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 460.0
230403, 과일과채류, 딸기, 설향, 1, 0, 530.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 280.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과실류, 사과, 후지, 1, 0, 120.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 과실류, 사과, 후지, 1, 0, 160.0
230403, 과실류, 사과, 후지, 1, 0, 230.0
230403, 과실류, 사과, 기타사과, 1, 0, 230.0
230403, 조미채소류, 양파, 기타양파, 1, 0, 91.666664
230403, 과일과채류, 참외, 기타참외, 1, 0, 481.0
230403, 과실류, 사과, 후지, 1, 0, 263.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 340.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 460.0
230403, 서류, 고구마, 밤고구마, 1, 0, 275.0
230403, 과일과채류, 딸기, 설향, 1, 0, 360.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 340.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 190.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 658.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과일과채류, 메론, 파파야계, 1, 0, 450.0
230403, 엽경채류, 상추, 청상추, 1, 0, 250.0
230403, 과일과채류, 딸기, 장희, 1, 0, 510.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 350.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 300.0
230403, 산채류, 기타, 산채류기타, 1, 0, 1440.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 620.0
230403, 조미채소류, 대파, 대파, 1, 0, 170.0
230403, 과실류, 만감, 진지향, 1, 0, 333.33334
230403, 과일과채류, 참외, 기타참외, 1, 0, 651.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 520.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 620.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 600.0
