채소류, 꽈리고추, 꽈리고추, 1, 0, 937.5
230403, 서류, 고구마, 밤고구마, 1, 0, 88.0
230403, 과실류, 사과, 미시마, 1, 0, 265.0
230403, 산채류, 두릅, 참두릅, 1, 0, 2020.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 371.0
류, 호박, 애호박, 1, 0, 256.25
230403, 엽경채류, 시금치, 시금치, 1, 0, 280.0
230403, 과실류, 사과, 미얀마, 1, 0, 300.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과실류, 블루베리, 블루베리, 1, 0, 4650.0
230403, 과실류, 만감, 진지향, 1, 0, 360.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 440.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 270.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 580.0
230403, 과채류, 호박, 쥬키니호박, 1, 0, 70.0
230403, 근채류, 우엉, 우엉, 1, 0, 148.1
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 서류, 고구마, 호박고구마, 1, 0, 160.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과실류, 배, 신고, 1, 0, 146.66667
230403, 과채류, 오이, 가시오이, 1, 0, 210.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 200.0
230403, 과일과채류, 수박, 수박, 1, 0, 361.53845
230403, 과실류, 사과, 미시마, 1, 0, 385.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과채류, 오이, 취청, 1, 0, 188.0
230403, 엽경채류, 배추, 쌈배추, 1, 0, 100.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 520.0
230403, 양채류, 피망(단고추), 피망, 1, 0, 260.0
230403, 버섯류, 팽이버섯, 기타팽이버섯, 1, 0, 200.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 244.0
230403, 과일과채류, 수박, 수박, 1, 0, 405.55554
230403, 과일과채류, 참외, 기타참외, 1, 0, 650.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 650.0
230403, 버섯류, 팽이버섯, 기타팽이버섯, 1, 0, 200.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 396.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1050.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1480.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1100.0
230403, 과실류, 사과, 후지, 1, 0, 170.0
230403, 과실류, 사과, 미얀마, 1, 0, 165.0
230403, 과일과채류, 딸기, 설향, 1, 0, 260.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 63.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 63.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 35.0
230403, 과실류, 사과, 미시마, 1, 0, 350.0
230403, 과실류, 배, 신고, 1, 0, 100.0
230403, 근채류, 무, 세척무, 1, 0, 55.0
230403, 산채류, 두릅, 참두릅, 1, 0, 780.0
230403, 과실류, 배, 신고, 1, 0, 126.666664
230403, 과일과채류, 딸기, 설향, 1, 0, 1150.0
230403, 과실류, 감귤, 조생귤, 1, 0, 388.8889
230403, 과실류, 블루베리, 블루베리, 1, 0, 4000.0
230403, 근채류, 무, 세척무, 1, 0, 60.0
230403, 과실류, 단감, 기타단감, 1, 0, 165.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과실류, 사과, 미얀마, 1, 0, 151.0
230403, 과실류, 사과, 미얀마, 1, 0, 194.5
230403, 과일과채류, 딸기, 설향, 1, 0, 850.0
230403, 과실류, 사과, 미얀마, 1, 0, 194.5
230403, 과일과채류, 딸기, 설향, 1, 0, 950.0
230403, 과실류, 사과, 미얀마, 1, 0, 194.5
230403, 과실류, 사과, 미얀마, 1, 0, 244.5
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 500.0
230403, 과실류, 사과, 미얀마, 1, 0, 284.5
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 430.0
230403, 엽경채류, 얼갈이배추, 기타얼갈이배추, 1, 0, 76.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 360.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 300.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 1060.0
230403, 과실류, 사과, 후지, 1, 0, 135.0
230403, 과일과채류, 수박, 수박, 1, 0, 415.55554
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 340.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 151.35135
230403, 엽경채류, 열무, 열무, 1, 0, 212.5
230403, 과일과채류, 딸기, 설향, 1, 0, 1150.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 400.0
230403, 과채류, 오이, 취청, 1, 0, 320.0
230403, 과실류, 사과, 미얀마, 1, 0, 500.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 과일과채류, 수박, 수박, 1, 0, 225.0
230403, 과일과채류, 딸기, 금실, 1, 0, 1550.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 350.0
230403, 과실류, 사과, 미시마, 1, 0, 60.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 650.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 400.0
230403, 과일과채류, 딸기, 장희, 1, 0, 360.0
230403, 양채류, 파프리카, 노랑파프리카, 1, 0, 220.0
230403, 조미채소류, 풋고추, 기타풋고추, 1, 0, 180.0
230403, 엽경채류, 부추, 영양부추, 1, 0, 1000.0
230403, 과일과채류, 수박, 꿀수박, 1, 0, 433.33334
230403, 과채류, 오이, 취청, 1, 0, 382.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 620.0
채소류, 풋고추, 청양, 1, 0, 440.0
230403, 과실류, 블루베리, 블루베리, 1, 0, 4300.0
230403, 조미채소류, 대파, 대파, 1, 0, 150.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 280.0
230403, 과채류, 오이, 취청, 1, 0, 382.0
류, 호박, 애호박, 1, 0, 281.25
230403, 과일과채류, 참외, 기타참외, 1, 0, 520.0
230403, 과일과채류, 수박, 꿀수박, 1, 0, 433.33334
230403, 과채류, 오이, 취청, 1, 0, 321.0
230403, 과일과채류, 딸기, 설향, 1, 0, 360.0
류, 호박, 애호박, 1, 0, 256.25
채소류, 양파, 양파, 1, 0, 153.33333
230403, 과일과채류, 수박, 꿀수박, 1, 0, 433.33334
230403, 조미채소류, 풋고추, 청양, 1, 0, 333.0
230403, 버섯류, 느타리버섯, 애느타리, 1, 0, 285.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 640.0
류, 오이, 백다다기, 1, 0, 194.44444
230403, 과일과채류, 수박, 꿀수박, 1, 0, 433.33334
230403, 과일과채류, 딸기, 금실, 1, 0, 1430.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 38.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 58.0
230403, 산채류, 방풍나물, 방풍나물, 1, 0, 75.0
230403, 서류, 고구마, 밤고구마, 1, 0, 112.0
류, 오이, 백다다기, 1, 0, 125.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 38.0
230403, 과일과채류, 수박, 꿀수박, 1, 0, 433.33334
채류, 냉이, 일반냉이, 1, 0, 587.5
230403, 과일과채류, 수박, 꿀수박, 1, 0, 433.33334
230403, 근채류, 당근, 당근, 1, 0, 135.0
류, 피망(단고추), 피망, 1, 0, 150.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 58.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 35.0
230403, 과일과채류, 참외, 오복, 1, 0, 510.0
, 완두, 완두, 1, 0, 562.5
230403, 과실류, 바나나, 바나나, 0, 0, 269.23077
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 155.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 38.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 512.0
230403, 과실류, 바나나, 바나나, 0, 0, 269.23077
류, 오이, 백다다기, 1, 0, 200.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 465.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 266.66666
230403, 과일과채류, 딸기, 죽향, 1, 0, 800.0
230403, 엽경채류, 배추, 기타배추, 1, 0, 63.0
230403, 과채류, 오이, 취청, 1, 0, 465.0
230403, 과일과채류, 딸기, 설향, 1, 0, 830.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 112.5
230403, 과일과채류, 토마토, 토마토, 1, 0, 380.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
