deal_date,large,medium,소,origin,income,가격
20230308,수입 소고기,갈비,호주산,income,4214,4214,4214
20230308,수입 소고기,갈비살,미국산,income,4391,4391,4391
20230308,수입 돼지고기,삼겹살,삼겹살,income,1476,1476,1476
20230308,닭,육계(kg),육계(kg),korea,5954,5954,5954
20230308,계란,특란10구,일반란,korea,3806,3806,3806
20230308,계란,특란30구,일반란,korea,6310,6310,6310
20230308,우유,흰우유,흰우유,korea,2879,2879,2879
20230309,소,안심,1++등급,korea,14812,14812,14812
20230309,소,안심,1+등급,korea,13248,13248,13248
20230309,소,안심,1등급,korea,12110,12110,12110
20230309,소,등심,1++등급,korea,13064,13064,13064
20230309,소,등심,1+등급,korea,10598,10598,10598
20230309,소,등심,1등급,korea,9239,9239,9239
20230309,소,설도,1++등급,korea,4447,4447,4447
20230309,소,설도,1+등급,korea,4264,4264,4264
20230309,소,설도,1등급,korea,4070,4070,4070
20230309,소,양지,1++등급,korea,6632,6632,6632
20230309,소,양지,1+등급,korea,5590,5590,5590
20230309,소,양지,1등급,korea,5427,5427,5427
20230309,소,갈비,1++등급,korea,8616,8616,8616
20230309,소,갈비,1+등급,korea,7139,7139,7139
20230309,소,갈비,1등급,korea,6841,6841,6841
20230309,돼지,앞다리,앞다리,korea,1275,1275,1275
20230309,돼지,삼겹살,삼겹살,korea,2016,2016,2016
20230309,돼지,갈비,갈비,korea,1334,1334,1334
20230309,돼지,목심,목심,korea,1825,1825,1825
20230309,수입 소고기,갈비,미국산,income,3452,3452,3452
20230309,수입 소고기,갈비,호주산,income,4214,4214,4214
20230309,수입 소고기,갈비살,미국산,income,4391,4391,4391
20230309,수입 돼지고기,삼겹살,삼겹살,income,1473,1473,1473
20230309,닭,육계(kg),육계(kg),korea,5954,5954,5954
20230309,계란,특란10구,일반란,korea,3806,3806,3806
20230309,계란,특란30구,일반란,korea,6060,6060,6060
20230309,우유,흰우유,흰우유,korea,2880,2880,2880
20230310,소,안심,1++등급,korea,14831,14831,14831
20230310,소,안심,1+등급,korea,13234,13234,13234
20230310,소,안심,1등급,korea,12150,12150,12150
20230310,소,등심,1++등급,korea,13214,13214,13214
20230310,소,등심,1+등급,korea,10584,10584,10584
20230310,소,등심,1등급,korea,9263,9263,9263
20230310,소,설도,1++등급,korea,4763,4763,4763
20230310,소,설도,1+등급,korea,4253,4253,4253
20230310,소,설도,1등급,korea,4070,4070,4070
20230310,소,양지,1++등급,korea,6356,6356,6356
20230310,소,양지,1+등급,korea,5591,5591,5591
20230310,소,양지,1등급,korea,5423,5423,5423
20230310,소,갈비,1++등급,korea,8547,8547,8547
20230310,소,갈비,1+등급,korea,7142,7142,7142
20230310,소,갈비,1등급,korea,6830,6830,6830
20230310,돼지,앞다리,앞다리,korea,1264,1264,1264
20230310,돼지,삼겹살,삼겹살,korea,2238,2238,2238
20230310,돼지,갈비,갈비,korea,1310,1310,1310
20230310,돼지,목심,목심,korea,2051,2051,2051
20230310,수입 소고기,갈비,미국산,income,3762,3762,3762
20230310,수입 소고기,갈비,호주산,income,4092,4092,4092
20230310,수입 소고기,갈비살,미국산,income,4307,4307,4307
20230310,수입 돼지고기,삼겹살,삼겹살,income,1476,1476,1476
20230310,닭,육계(kg),육계(kg),korea,5996,5996,5996
20230310,계란,특란10구,일반란,korea,3806,3806,3806
20230310,계란,특란30구,일반란,korea,6037,6037,6037
20230310,우유,흰우유,흰우유,korea,2882,2882,2882
20230311,소,안심,1++등급,korea,14795,14795,14795
20230311,소,안심,1+등급,korea,13218,13218,13218
20230311,소,안심,1등급,korea,12133,12133,12133
20230311,소,등심,1++등급,korea,13202,13202,13202
20230311,소,등심,1+등급,korea,10578,10578,10578
20230311,소,등심,1등급,korea,9253,9253,9253
20230311,소,설도,1++등급,korea,4776,4776,4776
20230311,소,설도,1+등급,korea,4248,4248,4248
20230311,소,설도,1등급,korea,4056,4056,4056
20230311,소,양지,1++등급,korea,6355,6355,6355
20230311,소,양지,1+등급,korea,5592,5592,5592
20230311,소,양지,1등급,korea,5425,5425,5425
20230311,소,갈비,1++등급,korea,8589,8589,8589
